scene,agent_id,agent_type,frame,x,y
seq_hotel,0,0,0,294.0,406.0
seq_hotel,0,0,5,305.61005799839864,393.6229468893136
seq_hotel,0,0,10,317.1440906304292,381.55301885672014
seq_hotel,0,0,15,328.5996963645045,369.8132313275564
seq_hotel,0,0,20,339.97447366903737,358.4265997271595
seq_hotel,0,0,25,351.2660210124406,347.4161394808661
seq_hotel,0,0,30,362.4427146956045,336.76736979169095
seq_hotel,0,0,35,373.29660501855165,326.20654889638655
seq_hotel,0,0,40,383.9458818023227,315.8164417276858
seq_hotel,0,0,45,394.58637886591896,305.7733786126504
seq_hotel,0,0,50,405.41393002834207,296.25368987834196
seq_hotel,0,0,55,416.6243691085935,287.43370585182237
seq_hotel,0,0,60,428.4183280957228,279.4870020018084
seq_hotel,0,0,65,441.03744439136824,272.4037226221589
seq_hotel,0,0,70,454.33543842753363,265.96148294951956
seq_hotel,0,0,75,468.03924390258476,259.93963119502024
seq_hotel,0,0,80,481.8757945148873,254.11751556979064
seq_hotel,0,0,85,495.5720239628068,248.2744842849607
seq_hotel,0,0,90,508.854865944709,242.18988555166007
seq_hotel,0,0,95,521.468063464843,235.64994945863862
seq_hotel,0,0,100,533.7438424060001,228.7315334551849
seq_hotel,0,0,105,545.8663743077941,221.58616732429059
seq_hotel,0,0,110,557.7733640780446,214.2865629300068
seq_hotel,0,0,115,569.402516624571,206.90543213638475
seq_hotel,0,0,120,580.6915368551928,199.51548680747547
seq_hotel,0,0,125,591.5781296777292,192.18943880733022
seq_hotel,0,0,130,602.0,185.0
seq_hotel,0,0,135,612.0684796371426,177.78540478813466
seq_hotel,0,0,140,621.9102911355611,170.41657086983898
seq_hotel,0,0,145,631.4862254999742,163.0152350523466
seq_hotel,0,0,150,640.757073735101,155.70313414289112
seq_hotel,0,0,155,649.6836268456601,148.60200494870617
seq_hotel,0,0,160,658.2266758363704,141.8335842770254
seq_hotel,0,0,165,666.347011711951,135.51960893508246
seq_hotel,0,0,170,674.0215388792398,129.74737133899936
seq_hotel,0,0,175,681.367340829551,124.28631576940174
seq_hotel,0,0,180,688.4023073120809,119.08375774240974
seq_hotel,0,0,185,695.1094033631541,114.1583261810949
seq_hotel,0,0,190,701.4715940190945,109.52865000852866
seq_hotel,0,0,195,707.4718443162265,105.21335814778247
seq_hotel,1,0,0,222.0,359.0
seq_hotel,1,0,5,203.61233082986317,357.8544392523364
seq_hotel,1,0,10,185.91065999074624,356.78961578400833
seq_hotel,1,0,15,169.00365915625616,355.82998442367597
seq_hotel,1,0,20,153.0,355.0
seq_hotel,1,0,25,138.07594242527318,354.28210613274814
seq_hotel,1,0,30,124.04674458694384,353.6347296131978
seq_hotel,1,0,35,110.47957553597792,353.04630002727333
seq_hotel,1,0,40,96.94160432334135,352.5052469608992
seq_hotel,1,0,45,83.0,352.0
seq_hotel,1,0,50,69.2253723351537,351.4678990902659
seq_hotel,1,0,55,55.87197883232531,350.9133958111598
seq_hotel,1,0,60,42.03246014396537,350.42558719926484
seq_hotel,1,0,65,26.799456922524385,350.0935702911644
seq_hotel,1,0,70,8.995285020945209,350.1748971193416
seq_hotel,2,0,0,400.0,423.0
seq_hotel,2,0,5,418.27749128200657,422.37457304615424
seq_hotel,2,0,10,436.38037851077456,421.55617827593693
seq_hotel,2,0,15,454.2894565856014,420.5774490221322
seq_hotel,2,0,20,471.9855204057845,419.4710186175244
seq_hotel,2,0,25,489.4694845678494,418.2072622332221
seq_hotel,2,0,30,506.8057175934495,416.59836842894686
seq_hotel,2,0,35,523.9859167739623,414.7302970447355
seq_hotel,2,0,40,540.9928910200792,412.71889730515016
seq_hotel,2,0,45,557.8094492424913,410.6800184347532
seq_hotel,2,0,50,574.4184003518897,408.7295096581066
seq_hotel,2,0,55,590.7556575042557,406.9231082804267
seq_hotel,2,0,60,606.6942263152159,405.09939855492337
seq_hotel,2,0,65,622.3853949038332,403.2787605474738
seq_hotel,2,0,70,638.0064808445183,401.50640709556444
seq_hotel,2,0,75,653.7348017116819,399.82755103668205
seq_hotel,2,0,80,669.7476750797346,398.2874052083133
seq_hotel,2,0,85,687.230150064108,397.0317589490642
seq_hotel,2,0,90,704.9030766005399,395.90480975938914
seq_hotel,2,0,95,716.9138257575758,394.1047794117647
seq_hotel,3,0,0,632.0,393.0
seq_hotel,3,0,5,641.4739409387224,393.6686679872662
seq_hotel,3,0,10,651.1252547292249,394.3144461607552
seq_hotel,3,0,15,660.9430676738924,394.9372345160932
seq_hotel,3,0,20,670.9165060751089,395.53693304890646
seq_hotel,3,0,25,681.036262569814,396.11345616025267
seq_hotel,3,0,30,691.3415982547242,396.66716493074387
seq_hotel,3,0,35,701.8409155361936,397.19813663652087
seq_hotel,3,0,40,712.5168646917111,397.7062117138183
seq_hotel,4,0,0,631.0,444.0
seq_hotel,4,0,5,639.521957492236,442.4171359454314
seq_hotel,4,0,10,648.1895056935819,440.8831958544839
seq_hotel,4,0,15,657.0123010481367,439.40765783629445
seq_hotel,4,0,20,666.0,438.0
seq_hotel,4,0,25,675.1393988398931,436.6472624820868
seq_hotel,4,0,30,684.4141407339333,435.33339052626127
seq_hotel,4,0,35,693.8291524393143,434.0632199024915
seq_hotel,4,0,40,703.3893607132294,432.8415863807452
seq_hotel,4,0,45,713.0996923128724,431.67332573099037
seq_hotel,5,0,0,177.0,312.0
seq_hotel,5,0,5,154.3330410298142,316.408878298159
seq_hotel,5,0,10,132.79405501526185,320.30718332614134
seq_hotel,5,0,15,112.51210399973412,323.5016142149785
seq_hotel,5,0,20,93.63080760362688,325.84907291272907
seq_hotel,5,0,25,76.18274370388718,327.70738974402633
seq_hotel,5,0,30,59.66460670283858,329.2458625086168
seq_hotel,5,0,35,43.49788184671449,330.5367672847694
seq_hotel,5,0,40,27.283117120524008,331.6438005900538
seq_hotel,5,0,45,11.387867484789806,332.5584108672032
seq_hotel,6,0,0,80.0,358.0
seq_hotel,6,0,5,64.24709513930904,358.5103925806776
seq_hotel,6,0,10,49.30518063080227,358.88820749974866
seq_hotel,6,0,15,35.26320865098055,359.0
seq_hotel,6,0,20,21.985162337600258,359.0
seq_hotel,6,0,25,9.444889213219223,359.0
seq_hotel,7,0,0,13.0,294.0
seq_hotel,7,0,5,13.0,294.48418609217003
seq_hotel,7,0,10,13.0,294.9387265075916
seq_hotel,7,0,15,13.0,295.3632779023232
seq_hotel,7,0,20,13.0,295.757496932424
seq_hotel,7,0,25,13.0,296.12104025395234
seq_hotel,7,0,30,13.0,296.45356452296727
seq_hotel,7,0,35,13.0,296.7547263955274
seq_hotel,7,0,40,13.0,297.0241825276916
seq_hotel,7,0,45,13.0,297.2615895755186
seq_hotel,7,0,50,13.0,297.4666041950671
seq_hotel,7,0,55,13.0,297.63888304239595
seq_hotel,7,0,60,13.0,297.7780827735638
seq_hotel,7,0,65,13.0,297.88386004462956
seq_hotel,7,0,70,13.0,297.9558715116519
seq_hotel,7,0,75,13.0,297.9937738306896
seq_hotel,7,0,80,13.006738761022305,297.99326123897765
seq_hotel,7,0,85,13.077778156481433,297.92222184351857
seq_hotel,7,0,90,13.214549686189923,297.78545031381003
seq_hotel,7,0,95,13.402446209203472,297.59755379079655
seq_hotel,7,0,100,13.62686058457778,297.37313941542226
seq_hotel,7,0,105,13.873185671368542,297.1268143286315
seq_hotel,7,0,110,14.126814328631458,296.8731856713685
seq_hotel,7,0,115,14.373139415422221,296.6268605845778
seq_hotel,7,0,120,14.597553790796528,296.40244620920345
seq_hotel,7,0,125,14.78545031381008,296.2145496861899
seq_hotel,7,0,130,14.922221843518567,296.07777815648143
seq_hotel,7,0,135,14.993261238977695,296.0067387610223
seq_hotel,7,0,140,14.93518099253765,296.0288034820209
seq_hotel,7,0,145,14.561947363746153,296.1911697769686
seq_hotel,7,0,150,13.903691432688529,296.46875
seq_hotel,7,0,155,13.014044124184013,296.82954028220297
seq_hotel,7,0,160,11.946636363051846,297.24153675466545
seq_hotel,7,0,165,10.755099074111266,297.6727355484752
seq_hotel,7,0,170,9.493063182181512,298.09113279472007
seq_hotel,7,0,175,8.214159612081824,298.4647246244879
seq_hotel,7,0,180,6.972019288631437,298.7615071688667
seq_hotel,7,0,185,5.820273136649596,298.949476558944
seq_hotel,7,0,190,4.8087907694236804,299.0
seq_hotel,7,0,195,3.8541043428157593,299.0
seq_hotel,7,0,200,2.9013661458463766,299.0
seq_hotel,7,0,205,1.9501425683097258,299.0
seq_hotel,7,0,210,1.0000000000000002,299.0
seq_hotel,8,0,0,128.0,230.0
seq_hotel,8,0,5,128.0967037037037,229.988344686178
seq_hotel,8,0,10,128.18696296296295,229.97463109729776
